NOMBRE,FAMILIA,PRECIO_COMPRA,PRECIO_VENTA,IVA,MARGEN,EAN,ALTA,CANTIDAD,CANTIDAD_RESTOCK,PROVEEDOR,,,,,,,,,,,,,,
CARRE DE POLLO,BOLLERIA SALADA,1.25,1.65,10,20,1,1,0,20,,,,,,,,,,,,,,,0
CHAPATA CARBONARA,BOLLERIA SALADA,1.06,1.4,10,20,2,1,0,20,,,,,,,,,,,,,,,0
CHAPATA BARBACOA,BOLLERIA SALADA,1.06,1.4,10,20,3,1,0,20,,,,,,,,,,,,,,,0
CHAPATA BACON,BOLLERIA SALADA,1.06,1.4,10,20,4,1,0,20,,,,,,,,,,,,,,,0
NATA MONTADA ASTURIANA,NEVERA,1.6,1.69,10,20,8410297121104,1,0,20,,,,,,,,,,,,,,,0
ENSAIMADA DULCESOL 6 UNI.,SNACKS ( PEPSICO. GREFUSA DULCESOL ),0.66,1,10,20,8410087151083,1,0,20,15027,,,,,,,,,,,,,,0
MAGDALENA DULCESOL 11UNI.,SNACKS ( PEPSICO. GREFUSA DULCESOL ),0.91,1,10,20,8410087091358,1,0,20,09324,,,,,,,,,,,,,,0
GALLETA DESAYUNO 5 CEREALES CHOCOLATE,SNACKS ( PEPSICO. GREFUSA DULCESOL ),1.67,2.2,10,20,8411414012923,1,0,20,,,,,,,,,,,,,,,0
BIZCOCHOS GULLON,GENERICA,0.76,1,10,20,8410376051216,1,0,20,,,,,,,,,,,,,,,0
SURTIDO WAFER MIX,SNACKS ( PEPSICO. GREFUSA DULCESOL ),1.38,2.2,10,20,8411414013272,1,0,20,30011,,,,,,,,,,,,,,0
GALLETA FLORBU 5 CEREALES,GENERICA,1.67,2.2,10,20,8411414013227,1,0,20,,,,,,,,,,,,,,,0
MINI CRACKER PICK GULLON,GENERICA,0.76,1,10,20,8410376013658,1,0,20,,,,,,,,,,,,,,,0
LATTE MACCHIATO ICE COFEE 230 ML - LANDE,SNACKS ( PEPSICO. GREFUSA DULCESOL ),0.71,1.2,10,20,9004380079602,1,0,20,21058,,,,,,,,,,,,,,0
LANDESA ESPRESO ICE COFFEE,SNACKS ( PEPSICO. GREFUSA DULCESOL ),0.71,1.2,10,20,8480024732996,1,0,20,,,,,,,,,,,,,,,0
LANDESA ICE COFFEE DESCAFEINADO,SNACKS ( PEPSICO. GREFUSA DULCESOL ),0.91,1.2,10,20,9004380126702,1,0,20,21061,,,,,,,,,,,,,,0
LANDESA ICE COFFEE CAPPUCCHINO,SNACKS ( PEPSICO. GREFUSA DULCESOL ),0.71,1.2,10,20,9004380014306,1,0,20,21059,,,,,,,,,,,,,,0
CRACKERS CLASIC,GENERICA,0.76,1,10,20,8410376037319,1,0,20,,,,,,,,,,,,,,,0
DINOSAURIOS HUEVOS,SNACKS ( PEPSICO. GREFUSA DULCESOL ),0.63,1,10,20,8436048452563,1,0,20,90418,,,,,,,,,,,,,,0
DINOSAURIOS CHOCOLECHE 85 GR.,SNACKS ( PEPSICO. GREFUSA DULCESOL ),0.67,1,10,20,8436048961027,1,0,20,90402,,,,,,,,,,,,,,0
DINOSAURIOS GALLETA,SNACKS ( PEPSICO. GREFUSA DULCESOL ),0.76,1,10,20,8436048421972,1,0,20,,,,,,,,,,,,,,,0
SOLES DULCESOL CHOCO,SNACKS ( PEPSICO. GREFUSA DULCESOL ),0.65,1,10,20,8410087045047,1,0,20,65139,,,,,,,,,,,,,,0
