NOMBRE,FAMILIA,PRECIO_COMPRA,PRECIO_COMPRA_IVA,PRECIO_VENTA,IVA,MARGEN_AJUSTADO,MARGEN,EAN,ALTA,CANTIDAD,CANTIDAD_RESTOCK,PROVEEDOR,,P_COMPRA,PRECIO_COMPRA_CALC,Redo
CARRE DE POLLO,BOLLERIA SALADA,1.35,1.485,1.65,10,20,11.11111111,1,,0,20,,,0,1.25,1.25
CHAPATA CARBONARA,BOLLERIA SALADA,1.14,1.254,1.4,10,20,11.64274322,2,,0,20,GREFUSA S.L.,,0,1.060606061,1.06
CHAPATA BARBACOA,BOLLERIA SALADA,1.14,1.254,1.4,10,20,11.64274322,3,,0,20,,,0,1.060606061,1.06
CHAPATA BACON,BOLLERIA SALADA,1.14,1.254,1.4,10,20,11.64274322,4,,0,20,,,0,1.060606061,1.06
NATA MONTADA ASTURIANA,NEVERA,1.6,1.76,1.69,10,20,-3.977272727,8410297121104,,0,20,,,1.6,1.6,1.6
ENSAIMADA DULCESOL 6 UNI.,SNACKS,0.66,0.726,1.1,10,20,51.51515152,8410087015019,,0,20,DISTRIBUIDORA LEVANTINA DE PASTELERIA S.L.,,0.66,0.66,0.66
MAGDALENA DULCESOL 11UNI.,SNACKS,0.91,1.001,1,10,20,-0.0999000999,8410087091358,,0,20,DISTRIBUIDORA LEVANTINA DE PASTELERIA S.L.,,0.91,0.91,0.91
GALLETA DESAYUNO 5 CEREALES CHOCOLATE,SNACKS,1.8,1.98,2.2,10,20,11.11111111,8411414012923,,0,20,DISTRIBUIDORA LEVANTINA DE PASTELERIA S.L.,,0,1.666666667,1.67
BIZCOCHOS GULLON,OTROS,0.82,0.902,1,10,20,10.86474501,8410376051216,,0,20,,,0,0.7575757576,0.76
SURTIDO WAFER MIX,SNACKS,1.38,1.518,2.2,10,20,44.92753623,8411414013272,,0,20,DISTRIBUIDORA LEVANTINA DE PASTELERIA S.L.,,1.38,1.38,1.38
GALLETA FLORBU 5 CEREALES,OTROS,1.8,1.98,2.2,10,20,11.11111111,8411414013227,,0,20,,,0,1.666666667,1.67
MINI CRACKER PICK GULLON,OTROS,0.82,0.902,1,10,20,10.86474501,8410376013658,,0,20,,,0,0.7575757576,0.76
LATTE MACCHIATO ICE COFEE 230 ML - LANDE,SNACKS,0.71,0.781,1.2,10,20,53.64916773,9004380079602,,0,20,DISTRIBUIDORA LEVANTINA DE PASTELERIA S.L.,,0.71,0.71,0.71
LANDESA ESPRESO ICE COFFEE,SNACKS,0.71,0.781,1.2,10,20,53.64916773,9004380014405,,0,20,DISTRIBUIDORA LEVANTINA DE PASTELERIA S.L.,,0.71,0.71,0.71
LANDESA ICE COFFEE DESCAFEINADO,SNACKS,0.98,1.078,1.2,10,20,11.31725417,9004380126702,,0,20,DISTRIBUIDORA LEVANTINA DE PASTELERIA S.L.,,0,0.9090909091,0.91
LANDESA ICE COFFEE CAPPUCCHINO,SNACKS,0.71,0.781,1.2,10,20,53.64916773,9004380014306,,0,20,DISTRIBUIDORA LEVANTINA DE PASTELERIA S.L.,,0.71,0.71,0.71
CRACKERS CLASIC,OTROS,0.82,0.902,1,10,20,10.86474501,8410376037319,,0,20,,,0,0.7575757576,0.76
DINOSAURIOS HUEVOS,SNACKS,0.63,0.693,1,10,20,44.3001443,8436048452563,,0,20,DISTRIBUIDORA LEVANTINA DE PASTELERIA S.L.,,0.63,0.63,0.63
DINOSAURIOS CHOCOLECHE 85 GR.,SNACKS,0.67,0.737,1,10,20,35.68521031,8436048961027,,0,20,DISTRIBUIDORA LEVANTINA DE PASTELERIA S.L.,,0.67,0.67,0.67
DINOSAURIOS GALLETA,SNACKS,0.82,0.902,1,10,20,10.86474501,8436048421972,,0,20,,,0,0.7575757576,0.76
SOLES DULCESOL CHOCO,SNACKS,0.65,0.715,1,10,20,39.86013986,8410087045047,,0,20,DISTRIBUIDORA LEVANTINA DE PASTELERIA S.L.,,0.65,0.65,0.65
FLAKES NOCILLA 105 gr 3*35,SNACKS,0.98,1.078,1.2,10,20,11.31725417,8434165599857,,0,20,DISTRIBUIDORA LEVANTINA DE PASTELERIA S.L.,,0,0.9090909091,0.91
TOSTA RICA OCEANIX,SNACKS,0.63,0.693,1,10,20,44.3001443,8434165496163,,0,20,DISTRIBUIDORA LEVANTINA DE PASTELERIA S.L.,,0.63,0.63,0.63
DINOSAURIOS CHOCO BLANCO,SNACKS,0.67,0.737,1,10,20,35.68521031,8436048467116,,0,20,DISTRIBUIDORA LEVANTINA DE PASTELERIA S.L.,,0.67,0.67,0.67
DIATOSTA TOSTADA INTEGRAL,SNACKS,0.86,0.946,1.1,10,20,16.27906977,5601560111134,,0,20,DISTRIBUIDORA LEVANTINA DE PASTELERIA S.L.,,0.86,0.86,0.86
DIATOSTA TOSTADA,SNACKS,0.86,0.946,1.1,10,20,16.27906977,5601560111110,,0,20,DISTRIBUIDORA LEVANTINA DE PASTELERIA S.L.,,0.86,0.86,0.86
FLORBU STRACCIATELLA,OTROS,0.82,0.902,1,10,20,10.86474501,8411414013197,,0,20,,,0,0.7575757576,0.76
FLORBU CHOCOLATE INTENSE,OTROS,0.82,0.902,1,10,20,10.86474501,8411414013739,,0,20,,,0,0.7575757576,0.76
BOER RELLENO ORIGINAL,SNACKS,0.82,0.902,1,10,20,10.86474501,8411414012350,,0,20,DISTRIBUIDORA LEVANTINA DE PASTELERIA S.L.,,0,0.7575757576,0.76
MINI DINOSAURIOS ORIGINALES,SNACKS,0.66,0.726,1,10,20,37.74104683,8436048452570,,0,20,DISTRIBUIDORA LEVANTINA DE PASTELERIA S.L.,,0.66,0.66,0.66
ARTIACH PRINCESA 90 GR.,SNACKS,0.63,0.693,1,10,20,44.3001443,8436048962079,,0,20,DISTRIBUIDORA LEVANTINA DE PASTELERIA S.L.,,0.63,0.63,0.63
FLORBU TURRON NOUGAT,OTROS,0.82,0.902,1,10,20,10.86474501,8411414013715,,0,20,,,0,0.7575757576,0.76
MIKADO CHOCOLATE,OTROS,0.82,0.902,1,10,20,10.86474501,3017760628297,,0,20,,,0,0.7575757576,0.76
FLAKES CHOCO DUO,SNACKS,0.82,0.902,1,10,20,10.86474501,8434165588929,,0,20,,,0,0.7575757576,0.76
CHAPELAS CHOCO DULCESOL,SNACKS,0.66,0.726,1,10,20,37.74104683,8410087142180,,0,20,DISTRIBUIDORA LEVANTINA DE PASTELERIA S.L.,,0.66,0.66,0.66
BOLSA GALLETA FLORBU SIN AZUCAR,SNACKS,1.8,1.98,2.2,10,20,11.11111111,8411414012312,,0,20,DISTRIBUIDORA LEVANTINA DE PASTELERIA S.L.,,0,1.666666667,1.67
DULCESOL BRIO CHOCO,SNACKS,0.66,0.726,1,10,20,37.74104683,8410087280356,,0,20,,,0.66,0.66,0.66
SOLES AZUCAR DULCESOL,SNACKS,0.66,0.726,1,10,20,37.74104683,8410087045016,,0,20,DISTRIBUIDORA LEVANTINA DE PASTELERIA S.L.,,0.66,0.66,0.66
PANDORINO CACAO DULCESOL,SNACKS,0.66,0.726,1,10,20,37.74104683,8410087080499,,0,20,DISTRIBUIDORA LEVANTINA DE PASTELERIA S.L.,,0.66,0.66,0.66
GALLETAS MARIA ORO,SNACKS,0.62,0.682,1,10,20,46.62756598,8434165452145,,0,20,DISTRIBUIDORA LEVANTINA DE PASTELERIA S.L.,,0.62,0.62,0.62
CHIQUILIN CHIQUI CHOCS,SNACKS,0.82,0.902,1,10,20,10.86474501,8436048961881,,0,20,DISTRIBUIDORA LEVANTINA DE PASTELERIA S.L.,,0,0.7575757576,0.76
AVENACOL,SNACKS,0.63,0.693,1,10,20,44.3001443,8434165483071,,0,20,DISTRIBUIDORA LEVANTINA DE PASTELERIA S.L.,,0.63,0.63,0.63
ROLLINO NOCCIOLA,SNACKS,0.64,0.704,1.09,10,20,54.82954545,8001585001309,,0,20,DISTRIBUIDORA LEVANTINA DE PASTELERIA S.L.,,0.64,0.64,0.64
ROLLINO LATTE MILKI CREAM,SNACKS,0.89,0.979,1.09,10,20,11.3381001,8001585001323,,0,20,DISTRIBUIDORA LEVANTINA DE PASTELERIA S.L.,,0.89,0.89,0.89
ROLLINO CACAO CREAM,SNACKS,0.64,0.704,1.09,10,20,54.82954545,8001585001330,,0,20,DISTRIBUIDORA LEVANTINA DE PASTELERIA S.L.,,0.64,0.64,0.64
MINIS SIMPSON GALLETAS,SNACKS,0.64,0.704,1,10,20,42.04545455,8412674104465,,0,20,DISTRIBUIDORA LEVANTINA DE PASTELERIA S.L.,,0.64,0.64,0.64
FLORBU GOUMET AVELLANAS,SNACKS,0.82,0.902,1,10,20,10.86474501,8411414013722,,0,20,DISTRIBUIDORA LEVANTINA DE PASTELERIA S.L.,,0,0.7575757576,0.76
RICANELA CUETARA,SNACKS,0.66,0.726,1,10,20,37.74104683,8434165469037,,0,20,DISTRIBUIDORA LEVANTINA DE PASTELERIA S.L.,,0.66,0.66,0.66
MINI CAMPURRIANAS CUETARA 300 GR.,SNACKS,0.66,0.726,1,10,20,37.74104683,8434165525160,,0,20,DISTRIBUIDORA LEVANTINA DE PASTELERIA S.L.,,0.66,0.66,0.66
CHIQUILIN GALLETA,SNACKS,0.63,0.693,1,10,20,44.3001443,8410000000115,,0,20,DISTRIBUIDORA LEVANTINA DE PASTELERIA S.L.,,0.63,0.63,0.63
OREO ORIGINAL 154 GR.,SNACKS,0.81,0.891,1.15,10,20,29.0684624,7622300281182,,0,20,DISTRIBUIDORA LEVANTINA DE PASTELERIA S.L.,,0.81,0.81,0.81
FILIPINOS BLANCOS,SNACKS,0.6,0.66,1,10,20,51.51515152,8436048962659,,0,20,DISTRIBUIDORA LEVANTINA DE PASTELERIA S.L.,,0.6,0.6,0.6
FILIPINOS CHOCOLATE NEGRO,SNACKS,0.63,0.693,1,10,20,44.3001443,8436048409826,,0,20,DISTRIBUIDORA LEVANTINA DE PASTELERIA S.L.,,0.63,0.63,0.63
FILIPINOS CHOCOLATE CON LECHE,SNACKS,0.63,0.693,1,10,20,44.3001443,8436048452167,,0,20,DISTRIBUIDORA LEVANTINA DE PASTELERIA S.L.,,0.63,0.63,0.63
CHOCOFLAKES,SNACKS,0.63,0.693,1,10,20,44.3001443,8434165455412,,0,20,DISTRIBUIDORA LEVANTINA DE PASTELERIA S.L.,,0.63,0.63,0.63
TOSTA RICA,SNACKS,0.63,0.693,1,10,20,44.3001443,8434165483958,,0,20,DISTRIBUIDORA LEVANTINA DE PASTELERIA S.L.,,0.63,0.63,0.63
VALENCIANAS DULCESOL 12 UDS. 300 GR,SNACKS,0.66,0.726,1,10,20,37.74104683,8410087010892,,0,20,DISTRIBUIDORA LEVANTINA DE PASTELERIA S.L.,,0.66,0.66,0.66
CAMPURRIANAS SIN AZUCAR,SNACKS,0.82,0.902,1,10,20,10.86474501,8434165458086,,0,20,DISTRIBUIDORA LEVANTINA DE PASTELERIA S.L.,,0,0.7575757576,0.76
POWERKING ENERGIY DRINK,BEBIDAS,0.24,0.2904,0.47,21,20,61.84573003,7611612221023,,0,20,PRINCESALISIMO S.L.,,0.24,0.24,0.24
RED BULL ENERGY DRINK,BEBIDAS,0.78,0.9438,1.65,21,20,74.82517483,9002490100070,,0,20,PRINCESALISIMO S.L.,,0.78,0.78,0.78
FANTA DE NARANJA ZERO,BEBIDAS,0.32,0.3872,0.57,21,20,47.2107438,5449000120960,,0,20,PRINCESALISIMO S.L.,,0.32,0.32,0.32
FANTA DE LIMON ZERO,BEBIDAS,0.32,0.3872,0.57,21,20,47.2107438,5449000120991,,0,20,PRINCESALISIMO S.L.,,0.32,0.32,0.32
NESTEA LIMON TE NEGRO,BEBIDAS,0.48,0.5808,0.71,21,20,22.24517906,5449000012913,,0,20,PRINCESALISIMO S.L.,,0.48,0.48,0.48
PEPSI,BEBIDAS,0.33,0.3993,0.8,21,20,100.3506136,3168930159711,,0,20,PRINCESALISIMO S.L.,,0.33,0.33,0.33
MONSTER ENERGY,BEBIDAS,0.83,1.0043,1.25,21,20,24.46480135,5060166690380,,0,20,PRINCESALISIMO S.L.,,0.83,0.83,0.83
RED BULL SUGARFREE,BEBIDAS,0.8,0.968,1.25,21,20,29.1322314,90162800,,0,20,PRINCESALISIMO S.L.,,0.8,0.8,0.8
TONICA SCHWEPPS 33 CL,BEBIDAS,0.5,0.605,0.65,21,20,7.438016529,8414100317357,,0,20,PRINCESALISIMO S.L.,,0.5,0.5,0.5
COCA-COLA ZERO 33 CL,OTROS,0.47,0.5687,0.57,21,20,0.2285915245,5000112554359,,0,20,,,0,0.3925619835,0.39
COCA-COLA SIN CAFEINA 33 CL.,BEBIDAS,0.45,0.5445,0.65,21,20,19.37557392,5449000000774,,0,20,PRINCESALISIMO S.L.,,0.45,0.45,0.45
COCACOLA LIGHT 33 CL,BEBIDAS,0.45,0.5445,0.65,21,20,19.37557392,5449000050205,,0,20,CASALMA S.L.,,0.45,0.45,0.45
TRINA DE NARANJA,BEBIDAS,0.34,0.4114,0.57,21,20,38.55128828,8411800318950,,0,20,PRINCESALISIMO S.L.,,0.34,0.34,0.34
SCHWEPPES LIMON,BEBIDAS,0.37,0.4477,0.52,21,20,16.14920706,8414100301752,,0,20,PRINCESALISIMO S.L.,,0.37,0.37,0.37
COCACOLA,OTROS,0.43,0.5203,0.52,21,20,-0.05765904286,9004380126703,,0,20,,,0,0.3581267218,0.36
FANTA DE NARANJA,BEBIDAS,0.35,0.4235,0.52,21,20,22.7863046,5449000011527,,0,20,PRINCESALISIMO S.L.,,0.35,0.35,0.35
COCACOLA ZERO-ZERO,BEBIDAS,0.47,0.5687,0.65,21,20,14.29576226,5449000169327,,0,20,DISTRIBUCIONS RIBERA DEL XUQUER S.L.,,0.47,0.47,0.47
SPRITE,BEBIDAS,0.3,0.363,0.48,21,20,32.23140496,5449000205520,,0,20,PRINCESALISIMO S.L.,,0.3,0.3,0.3
AQUARIUS LIMON LATA,BEBIDAS,0.53,0.6413,0.75,21,20,16.94994542,5449000058560,,0,20,PRINCESALISIMO S.L.,,0.53,0.53,0.53
FANTA LIMON BOTE,BEBIDAS,0.35,0.4235,0.52,21,20,22.7863046,5449000006004,,0,20,DISTRIBUCIONS RIBERA DEL XUQUER S.L.,,0.35,0.35,0.35
AQUARIOS NARANJA BOTE,BEBIDAS,0.53,0.6413,0.75,21,20,16.94994542,5449000033819,,0,20,DISTRIBUCIONS RIBERA DEL XUQUER S.L.,,0.53,0.53,0.53
ENJOY TROPICAL SIN GAS,BEBIDAS,0.55,0.6655,1,21,20,50.26296018,8429359422004,,0,20,PRINCESALISIMO S.L.,,0.55,0.55,0.55
AQUARIUS NARANJA BOTELLA 1.5,BEBIDAS,1.14,1.3794,1.69,21,20,22.51703639,5449000133847,,0,20,PRINCESALISIMO S.L.,,1.14,1.14,1.14
ENJOY FRESA BOTELLA 1.5,BEBIDAS,0.55,0.6655,1,21,20,50.26296018,8429359322106,,0,20,PRINCESALISIMO S.L.,,0.55,0.55,0.55
ENJOY NARANJA BOTELLA 1.5,BEBIDAS,0.55,0.6655,1,21,20,50.26296018,8429359322007,,0,20,PRINCESALISIMO S.L.,,0.55,0.55,0.55
ENJOY MANZANA BOTELLA 1.5,BEBIDAS,0.55,0.605,1,10,20,65.2892562,8429359001520,,0,20,PRINCESALISIMO S.L.,,0.55,0.55,0.55
AQUARIUS LIMON BOTELLA 1.5,BEBIDAS,1.14,1.3794,1.69,21,20,22.51703639,5449000164957,,0,20,PRINCESALISIMO S.L.,,1.14,1.14,1.14
ALTEZA SPORT ACTIVE LIMON,BEBIDAS,0.32,0.3872,0.57,21,20,47.2107438,8480024834737,,0,20,PRINCESALISIMO S.L.,,0.32,0.32,0.32
ALTEZA SPORT ACTVE NARANJA,BEBIDAS,0.32,0.3872,0.57,21,20,47.2107438,8480024834720,,0,20,PRINCESALISIMO S.L.,,0.32,0.32,0.32
CRIK CROK PLUS SOUR CRAM & ONION,SNACKS,0.65,0.715,1,10,20,39.86013986,8002085008386,,0,20,DISTRIBUIDORA LEVANTINA DE PASTELERIA S.L.,,0.65,0.65,0.65
CRIK CROK ORIGINAL 90 GR.,SNACKS,0.66,0.726,1,10,20,37.74104683,8002085008348,,0,20,DISTRIBUIDORA LEVANTINA DE PASTELERIA S.L.,,0.66,0.66,0.66
COCACOLA 2 L,BEBIDAS,1.05,1.2705,1.65,21,20,29.87012987,5449000009067,,0,20,DISTRIBUCIONS RIBERA DEL XUQUER S.L.,,1.05,1.05,1.05
COLA SABROSA 1.25 L,BEBIDAS,0.27,0.3267,0.5,21,20,53.04560759,8437007210972,,0,20,DISTRIBUCIONS RIBERA DEL XUQUER S.L.,,0.27,0.27,0.27
LA FLOR DEL JUCAR GASEOS 1L,BEBIDAS,0.32,0.3872,0.45,21,20,16.21900826,8437007210057,,0,20,DISTRIBUCIONS RIBERA DEL XUQUER S.L.,,0.32,0.32,0.32
SABROSA FRESA 1.25,BEBIDAS,0.27,0.3267,0.5,21,20,53.04560759,8437007210477,,0,20,DISTRIBUCIONS RIBERA DEL XUQUER S.L.,,0.27,0.27,0.27
